ASIN,Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Topic mentions in ASIN,Customer feedback examples
B07P41S5PV,negative,product doesn't look good,8306,1788,1,very cheap product waste of money not appropriate
B07Q4F3YVQ,negative,looks old,3077,592,1,item is old and worn out
B07R7LLV77,negative,material is not good,4433,960,2,"item was not as expected and described in web,very poor quality cloth"
B082RDZZJ1,negative,material is not good,4433,960,3,"material not good,received damaged product and is of low quality material,poor quality material"
B082RDZZJ1,positive,material quality,1741,257,1,resonable finishing awerage cloth quality
B09M9YL9WG,negative,bad quality,4794,893,1,quality is not good
B0B464X5MJ,negative,strap is broken,569,170,2,"buckle of the bag is damaged,broken strap"
B0B464X5MJ,negative,wrinkles on bag,50,16,1,there s a mark on the bag
B07MFZ34NK,negative,color not good,3861,866,1,one is of wrong color and other is defective
B07SWVK36G,negative,hard material,319,89,1,hard material didnt like
B0999K5S3P,negative,dirty from inside,119,27,1,zip is damaged and also it is dirty here and there
B09Q1DT2RW,negative,chain is not working,645,116,1,the chain strap is not okay one place is bent
B09Q1JD2DW,negative,size issues,21476,3691,1,it is so small size
B07G636QVZ,negative,size issues,21476,3691,2,"this item was too small,it was too small"
B07KSGPXGB,negative,damaged stitching,198,45,1,the stitching of the item is knackered or broken from all over and the stitching from inside the item and outside is ruined
B07NVQN1S3,positive,value for money,7369,1266,1,best within the price
B09Q1DBMM6,positive,mobile and money,443,152,1,value for money
B09Q1GYYVY,negative,leather is torn,420,69,2,"leather little torn,leather is peeling"
B0B464X5MJ,negative,dull color,1714,352,2,"the late of purse is not good and they also looking very dull product,dull"
B0B464X5MJ,negative,item was not packed,133,45,1,material quality not good
B0B464X5MJ,negative,zip quality,1076,247,2,"very poor material very poor zip and main compartment very poor quality,the zip is not working properly"
B0BGFR5F3M,negative,doesn't fit properly,1545,527,2,"does not look good,product quality and size are really good but does not look good"
B07RZ8KZS9,negative,color not good,3861,866,1,color
B083XZYY9H,negative,one zip,121,18,5,"only single zips and no quality,having only single pockets with single zip,each bag had only one zip,only one single zip,thought it has more zips but single zip"
B083Y1XPMM,negative,chain is broken,511,70,1,broken chains and poor quality product
B0B464X5MJ,negative,chain is small,62,19,7,"chain was so small i expected a long chain,the chain is to short as for modelling images,chain size is so small now,chain too small stitching very poor,chain is very small"
B07CG1WCLM,negative,material is not good,4433,960,1,material is poor
B07DT1ZGQ7,negative,flimsy material,93,20,2,"very flimsy and definitely not a gift item,it is thin and too flimsy"
B07DT1ZGQ7,negative,pocket is torn,115,42,2,"pocket inside was torn,inside pocket is torn and zip is not running smooth"
B07NLJBWZD,negative,product doesn't look good,8306,1788,1,not good
B083Y1XPMM,negative,torned material,959,241,2,"side hangers strip was broken,there is a whole in the bag it is a bit torn"
B08B5CP6FK,negative,size issues,21476,3691,1,there is a many scratches and small cut in shoulder bag and hand clutch
B09HTYRYLX,negative,bag is torn,1189,285,9,"the bag is been torn from down,purse is torn from the bottom side,bag are torn from side,this bag is torn,inner purse is torn"
B09Q1DRFQ8,negative,doesn't look authentic,226,68,1,not good
B09Q1G7BT2,negative,bad quality,4794,893,1,quality isnt good
B09Q1HN2B2,negative,cut mark,178,48,1,cutting are visible
B09Q1JVKQW,negative,size is not fit,3432,821,1,size me
B0B464X5MJ,positive,chain quality,205,35,1,the chain is also nice
B0BGFR5F3M,negative,doesn't look like this,703,194,2,i dont like it
B07M7WJQRF,negative,product doesn't look good,8306,1788,1,its not good
B07NVPL7Y5,negative,material is not good,4433,960,1,poor and damage item received
B07RKHYVMC,negative,size issues,21476,3691,7,"not as shown in picture and too small,it was too small not expected size,too small,small size,small markings on the bag"
B083Y1XPMM,negative,waste of money,3189,599,8,"waste of time and money,not good as per price poor quality,inferior quality at this price range,ill urge to all buyer please please dont waste your money for such garbage,better price available"
B09M9ZPL7D,negative,size issues,21476,3691,1,sling size too small
B0BGFR849K,negative,leather is worn,59,10,1,this product quantity is very bad and belt is damaged removing leather poor quality products
B0BN6DD5Z6,negative,black stains on bag,313,74,3,"there are black stains on it,also black stains,stitching is not great and there are black stains at some places"
B07S19V9Z3,negative,zip is broken,938,167,1,damaged in zip location
B081L5TJLQ,negative,marks on product,167,37,1,there are so many marks on the bag and quality is not good like before
B081L68ST3,positive,good design,701,127,1,nice quality and design
B083XZYY9H,positive,soft material,367,44,2,"just loved this product soft smooth,material is soft but getting damaged early"
B083Y1XPMM,negative,has compartments,102,15,1,i need compartments in each bag
B09M9ZGYBF,negative,belt is broken,405,103,1,near the zipper is torn
B09Q1DT2RW,negative,material is peeling,37,9,1,skin is peeled
B09Q1DT2RW,positive,better than expected,112,17,1,bigger and better than expected
B07BVKZXCV,negative,zip quality,1076,247,2,"the zips are of very bad quality,no tag on the purse as well as too large"
B07C6GZF1K,negative,product doesn't look good,8306,1788,1,no went
B07LDS62TP,negative,bad quality,4794,893,2,"quality not good,this bag is damage and quality is not good"
B081L68ST3,positive,shown in picture,2895,503,1,price same product same but quality is different
B0824QS5D8,negative,black stains on bag,313,74,1,bag material got stretched and black paint in bottom of the bag
B083Y1XPMM,negative,bad finishing,1129,297,5,"even the product finishing is not good,poor quality and finish,finishing is not well,very poor quality,not good finished"
B0999J95YQ,negative,product has stains,850,197,1,theres also some type of stain on the bag which cant be removed
B09DXC2X7F,negative,bag is totally damaged,59,10,2,"this bag is fully damaged i need new one,totally damaged"
B09MB1ZFFN,negative,doesn't fit properly,1545,527,2,"not looking good,not looking good"
B09MB1ZFFN,negative,product doesn't look good,8306,1788,2,not good
B0BRKX4JN5,negative,bag is torn,1189,285,1,bag is torn
B07DT1ZGQ7,negative,difficult to use,84,21,1,difficult to use
B07G63DC9Q,positive,looks nice,7013,969,1,nice
B07MY4VS9V,negative,product doesn't look good,8306,1788,2,not good
B07MY5VPCV,negative,bad finishing,1129,297,1,finishing not good
B07P53XRFQ,negative,white color bag,302,52,1,the bags of white color were sent
B07RKHYVMC,negative,waste of money,3189,599,2,"the item sent is of the lesser cost as compared to the item ordered,waste of money"
B082RDZZJ1,negative,one zip,121,18,1,it has only one zip
B09HTYRYLX,negative,chain is not working,645,116,3,"chain of sling is not durable,chain is discomforting,product quality especially bag leather is very poor also bag chain is not good"
B09Q1DBMM6,negative,bad finishing,1129,297,1,very poor quality
B09Q1F3WWH,positive,best in class,139,19,1,best one
B0B464X5MJ,negative,belt is broken,405,103,1,the middle part is torn
B0BGFR5F3M,positive,color and size,65,11,1,product quality and size are really good but does not look good
B07R6HNVPN,negative,size issues,21476,3691,1,hand clutch defective poor quality and size small
B07RZ8KZS9,negative,scratches on product,795,223,2,"wallet inside has scratches,the zip of the bag is broken into pieces and there is a scratch mark in front of the bag"
B07S19V9Z3,positive,material quality,1741,257,1,inner cloth quality is very good
B083XZYY9H,negative,doesn't meet requirements,311,78,1,not full fil my requirements
B09M9ZGYBF,negative,no inner partition,68,21,1,not look goog
B09Q1F3WWH,negative,zip is not working,1508,318,1,zip faulty
B09Q1FX34C,negative,lock is not working,371,115,1,the lock is also rusted
B0B464X5MJ,negative,one compartment,190,43,1,partial quantity missing only one bag received
B07G4G2LW8,positive,looks nice,7013,969,1,it is still in good condition
B07LDS28Y4,negative,bad quality,4794,893,1,quality not good
B09G6XVLFL,negative,not as shown in picture,10280,1970,1,different products
B09MB2NP9R,positive,good durable,451,93,1,i like this sling bag as it looks good and durable also
B0BN6DD5Z6,negative,no brand logo,453,101,1,inner cover of polyethylene and not fabric
B07DSZ3GDS,positive,nice and spacious,1492,229,1,spacious enough for your all time necessities
B07DT1ZGQ7,negative,defective belt,23,2,1,belt is faulty
B07KSGPXGB,negative,inside damage,101,28,2,"inside damaged and not perfect,inside material damaged"
B07LDS62TP,negative,not as shown in picture,10280,1970,1,item doesnt meet the website description
B07NLJBWZD,negative,small damage,134,29,1,product is too dirty little damaged sling is not available
B082RDZZJ1,negative,waste of money,3189,599,1,waste of money
B083Y1XPMM,negative,thin material,265,54,3,"material is too thin,its walls are very thin,too thin no zips in the smallest bag"
B09HTYRYLX,negative,torn from inside,155,37,1,it is torn from inside and a poor quality of cloth is just oasted on cardboard sheet
B09M9ZGYBF,negative,black color,1237,175,1,i order black color but delivered grey color
B0B464X5MJ,negative,bad smell,664,152,4,"it has a very bad smell,bag is torn at many places and quality is also bad,this purse is poor in quality and is stinking,very bad look"
B0BGFR5F3M,negative,strap is not good,543,175,1,good but strap is not durable
B07CG1YVH4,negative,damaged stitching,198,45,1,broken stitch inside
B07DBBTW4F,negative,zip is broken,938,167,1,zip is broken
B07DT1ZGQ7,negative,plastic material,145,19,1,internal zip is a plastic one and it keep struck
B07DT1ZGQ7,positive,easy to use,197,35,1,simple design sturdy
B07MY4VS9V,positive,value for money,7369,1266,3,"good product and good quality or vale of money so can buy this item,good at this price range,worth the money"
B07PXXHHXJ,negative,product has stains,850,197,1,stains and dark lining can be seen on the bag
B083XZYY9H,negative,broken item,238,58,3,"even broken too,broken"
B0B464X5MJ,negative,not as shown in picture,10280,1970,13,"not received as shown in the pic,the product was not fresh it was used,not as per expectation,order related problem with an order wrong item or not as expected item doesnt match website description edit,different product"
B0B464X5MJ,negative,size is not fit,3432,821,5,"size and material not like photographs,dont like the size,size issues price tag missing,size issues,size"
B0BN6DD5Z6,positive,belt is good,32,6,1,quality of belt is also good
B07BVB69N1,negative,bad quality,4794,893,1,not good quality
B07CYZC1YQ,negative,doesn't look like this,703,194,1,she didnt like it
B07J2NZKL3,positive,value for money,7369,1266,2,"its good n worth the price,for the cost quality is better"
B07KSJ1TW5,positive,looks nice,7013,969,1,nice
B081L5TJLQ,negative,product doesn't look good,8306,1788,1,it looks not good as i though while choosing on amazon
B09M9YL9WG,positive,loved the style,219,57,1,i like it
B09M9ZGYBF,negative,material not up to mark,227,74,1,not up to the mark
B09Q1DRFQ8,negative,quality not worth,464,137,1,quality not good
B07DSY697V,negative,material is not good,4433,960,1,there is no expected style design also poor
B07DT1ZGQ7,negative,strap is not good,543,175,1,white thread of stitching and straps finishing is not good
B07G63DC9Q,negative,product doesn't look good,8306,1788,3,"stuff is not good,poor material not good,quality is good its not the fancy one"
B07KSH25Q4,negative,size issues,21476,3691,7,"its too small in size with less space,is not good so small,to smaller as expected,its too small,the inner pocket is too small"
B07LDS28Y4,negative,size issues,21476,3691,1,size is to small and damage
B07MY2FGH2,negative,size is not fit,3432,821,1,not expected size
B07P154KBJ,negative,zip is not working,1508,318,1,the zip was failed
B07PNJXQ4J,negative,not leather,624,116,1,this is not pu leather as described in website
B081L68ST3,positive,vibrant color,129,18,1,material is good type and the color is also vibrant
B083Y1XPMM,negative,zip is small,63,4,3,"zip is too small and not covered completely,the bag zip is very short,zip is too small"
B09Q1DRFQ8,negative,chain is not working,645,116,1,chain is not good
B09Q1GYYVY,negative,material is not good,4433,960,3,"material is not good,bad materia,it is coming out from the leather portion and positioning is not good"
B09Q1JVKQW,negative,scratch marks,178,62,1,scratch
B0B464X5MJ,negative,damaged stitching,198,45,1,stitches and material damaged and torn
B07P154KBJ,negative,bag handle,255,44,1,side bag handle are not in good condition
B09M9ZGYBF,negative,strap is too small,205,69,1,the strap is way too small
B09M9ZGYBF,negative,torned material,959,241,5,"it is torn and damaged,is torn from one side,torn"
B09M9ZPL7D,negative,stitching is loose,56,15,1,stitches coming off and material torn at stitches edges
B09Q1DRFQ8,negative,product doesn't look good,8306,1788,1,not good
B09Q1GYYVY,negative,size is not fit,3432,821,2,"also size not as expected,both size and chain is too small compared to the picture shown"
B0B464X5MJ,negative,small hole in bag,115,31,2,"hence there was a small gap,little cut and quality not good"
B07K5VMPJG,positive,value for money,7369,1266,4,"but to sum it up its worth the money paid or more than the money paid for,quality is good as per the price,good for the price,value for money"
B07KNS2ZW7,negative,zip is not working,1508,318,1,zip fail bag
B07R6HNVPN,negative,looks old,3077,592,5,"product is defective and an old piece,defective old product send,old items,big bag is just like very old,this is combo product all bags are not good very very old looking like 5 / 6years old"
B082RDZZJ1,negative,size issues,21476,3691,1,size was too large big bag chain is small
B083Y1XPMM,positive,good packaging,334,75,1,packing was good
B09Q1DRFQ8,positive,good compact,324,45,1,nice finish and styling enough space for keys mobile compact etc
B0B464X5MJ,negative,torn from inside,155,37,2,"it is torn from the inside,its torn inside"
B07KSGPXGB,positive,best in class,139,19,1,best but color change
B07P1MLLDG,negative,zip is not working,1508,318,1,also the large bag has defective zip
B07SWVK36G,positive,style look,62,5,1,color is different and style too
B083XZYY9H,negative,no zip,387,96,1,no zip
B083Y1XPMM,positive,value for money,7369,1266,21,"worth for money really a good product with affordable cost,too nice and soft value of price combo of 3,worth the price coz of the quality,value for money thickness is enough,good product in low price"
B09M9ZGYBF,negative,long strap,112,28,1,strap is long
B09Q1DT2RW,negative,not interested in this product,404,113,2,"as i wish not match,not as i wish"
B09Q1GYYVY,positive,looks nice,7013,969,1,t size but has great looks
B09Q1GYYVY,positive,material quality,1741,257,1,the material is so good and lustrous
B09Q1JVKQW,negative,used product,992,242,1,product seems used structure or shape of bag is completely spoiled / damaged
B0B464X5MJ,negative,chain is not working,645,116,3,"chain color is not proper,dont like chain handle,chain ws not perfect the quality is very poor"
B0BGFR4NPZ,negative,bag is too short,104,28,1,the string is too short
B0BN6DD5Z6,negative,looks old,3077,592,2,"it looks old,the bag looks like an old and used product with dust and marks on the bag"
B07BVKZXCV,negative,product doesn't look good,8306,1788,1,not good
B07BVKZXCV,positive,looks nice,7013,969,2,"very nice,nice"
B07DBBTW4F,positive,as per description,45,10,1,nice received as described
B07DSZ3GDS,negative,product doesn't look good,8306,1788,2,"not recommend and avoiding is the best option,not good"
B07NLJBWZD,negative,bag is torn,1189,285,1,product is already torn
B083XZYY9H,negative,design is not good,419,126,1,not good quality design not good
B09M9ZGYBF,negative,bad quality,4794,893,4,"quality is not good,quality isnt good,quantity acha nahi hai sorry,this is not good"
B09Q1DT2RW,negative,hard material,319,89,1,its small and too hard
B09Q1GYYVY,negative,product doesn't look good,8306,1788,9,"not look good which i thought,not a good fit,not looks good,not good,not good"
B09Q1GYYVY,positive,original product,311,63,1,product is very reasonable and good
B07BVB69N1,negative,zip quality,1076,247,1,inner cloth and zips are not nice
B07CYZC1YQ,negative,not as shown in picture,10280,1970,3,"doesnt look like the one in the picture,not as shown in pic,please check picture photos and comparison with product"
B07DBBTW4F,negative,bad finishing,1129,297,2,"very poor quality,its not a good quality finishing is not up to the mark"
B07DT1ZGQ7,negative,not sturdy,482,105,2,"it is ok for the price but it is not durable,not very spacious but stylish quality is good"
B07G636QVZ,negative,not as shown in picture,10280,1970,1,style not as per description
B07G63DC9Q,negative,useless for purpose,1464,283,1,no quality
B07RLRKGG3,negative,bad finishing,1129,297,1,finish not as id like
B083Y1XPMM,positive,looks stylish,1933,330,1,stylish and still is looks fab
B07G4H9R42,negative,bag is torn,1189,285,1,there is a torn in the bag
B07R6HNVPN,negative,zip is not working,1508,318,4,"the zips are also not ok,zip is not working properly,defective item received zip runner damaged,zipper is not working properly"
B07X9D9M6W,negative,bad quality,4794,893,2,"not good quality,quality not satisfying"
B07X9D9M6W,negative,not as shown in picture,10280,1970,3,"its not matching with shown image,not a as per picture and size to big,poor material and different product than the picture shown"
B083XZYY9H,negative,damaged stitching,198,45,1,broken sewing
B09HTYRYLX,negative,not as shown in picture,10280,1970,5,"looks different,product looks very different than in photos,item doesnt match website description note size issue so kindly take this item return,different product,bag was not in good condition and it was different from the picture"
B09Q1DT2RW,negative,looks old,3077,592,1,bag is nice but golden color is faded so looks like old piece
B0B464X5MJ,positive,picture looks good,411,93,1,it is clearly visible as well
B07DBBTW4F,negative,bad quality,4794,893,3,"its not a good quality finishing is not up to the mark,also quality is not good,quality is not good"
B07LDS28Y4,negative,waste of money,3189,599,1,bad waste money
B083XZYY9H,negative,hole in bag,268,55,4,"there is a hole in bag,there are many holes on bag,there is a hole in the side,there are holes and quality very bad"
B083Y1XPMM,negative,color not good,3861,866,11,"it doesnt suits for me and color not exact,poor product quality and color not good,color is not looking good,color doesnt look good,color also smells very bad"
B09Q1JVKQW,negative,fake product,1547,387,1,fake advertising
B07P53XRFQ,positive,looks nice,7013,969,1,up to now its is fine
B07RKHYVMC,positive,good comfortable,460,70,1,superb quality and comfortable
B083XZYY9H,positive,looks stylish,1933,330,5,"beautiful and looks stylish,cool stylish one,this products purse are good and stylish but little bit thickness issue otherwise i am so happy,the product is very stylish and good looking but the quality of the product is extremely bad,worth money look stylish but quality is not much good and only one shelf is there inside the bag"
B083Y1XPMM,negative,only pocket is there,119,19,2,"only one pocket in every beg what is this,two big purse have one pocket only and small one dont have even a pocket"
B083Y1XPMM,negative,strap is too small,205,69,1,handle was too small and also zip is not fully closed
B09Q1F3WWH,positive,shiny look,39,9,1,it is shiny
B09Q1JVKQW,negative,torned material,959,241,1,torn
B0B464X5MJ,negative,defective stitching,139,43,1,its look old and the stitching is even not good the button is torn looks like an use product
B07DT1ZGQ7,negative,belt is not good,291,72,2,"no belt not good quality,belt looks very poor quality"
B07DT1ZGQ7,negative,size is not fit,3432,821,7,"size is not perfect,product is different in color and by size and design from the product which is shown on the website,actually size issue,size issues,size issue"
B07KN4JJKV,negative,not as shown in picture,10280,1970,1,the quality of the product is abysmal and totally different from pictures
B081L5TJLQ,negative,no pockets inside the bag,563,130,3,"the bag has no sections,broad stitching no pockets inside,it is fair but there are not any extra pockets"
B082RDZZJ1,negative,bad quality,4794,893,1,found as not a quality product
B083XZYY9H,positive,good texture,105,23,1,the texture and material of this bag is not good as shown in the pictures
B0999J95YQ,negative,lock is not working,371,115,1,lock is not working properly
B09DXC2X7F,negative,chain is broken,511,70,1,it is tone and cello tape is applied is there and the chain is broken
B09HTYRYLX,negative,size issues,21476,3691,3,"the bag is too small,small size,its small"
B09Q1DBMM6,negative,defective color,100,18,1,i liked the product but received wrong color twice
B07C6CH5MD,negative,looks worn,253,60,1,product looks old and worn out
B07QPKJZQY,negative,color not good,3861,866,1,quality us good but i am not satisfied with color its very bad
B07QVZ12Q5,negative,product has stains,850,197,1,there are stains from the handle on the body of the bag
B0824QS5D8,negative,doesn't fit properly,1545,527,1,cant use regular
B09M9ZPL7D,negative,damaged stitching,198,45,1,stitches coming off and material torn at stitches edges
B09Q1FKY8C,negative,bad quality,4794,893,1,quality is not good
B09Q1FX34C,negative,can't be used,167,43,1,the chain of the bag is not of gold color but is rose gold and the clasp at the front which is shown in the picture is not there
B09Q1JMT13,negative,waste of money,3189,599,3,"the quality is not worth the purchase,quality issues price tag missing,money back"
B07DT1ZGQ7,positive,can be used occasionally,20,7,1,the bag is a sleek one suitable for occasional use
B07NY89BY7,negative,useless for purpose,1464,283,1,not worth
B09G6XVLFL,negative,material is not good,4433,960,3,"poor material quality,poor material,very very low material"
B09HKG54KC,negative,bag is torn,1189,285,1,the product is torn and all stains are present
B09Q1GYYVY,negative,small belt,937,252,2,"very small it is,it is a small compact sling bag which has a classy look"
B09Q1JVKQW,positive,small and cute,96,16,1,very trendy its small to look at but spacious enough to fit in a lot of things
B0C3RFY2BJ,negative,quality not worth,464,137,2,quality not good
B07CYZC1YQ,positive,shown in picture,2895,503,2,"its exactly like the picture,i got exact product"
B07J2NZKL3,negative,bag is torn,1189,285,4,"one of the bag is torn,packaging cover is torn and the purse is damage too,zip lock missing the bag is torn from inside,they send teared bag"
B07KSH25Q4,negative,product doesn't look good,8306,1788,1,not good
B07Q4F3YVQ,negative,looks worn,253,60,1,item is old and worn out
B07S19V9Z3,positive,good compartments,165,23,1,bag is big enough with 3 compartment and 1pouch and sling also
B083Y1XPMM,negative,not comfortable,621,160,6,"i am also not comfortable in n this item,this is not comfortable peace,not comfortable,poor quality not comfortable,bag material is very poor in quality and not good to wear"
B083Y1XPMM,negative,not sturdy,482,105,1,not comfort
B09M9YDVF4,negative,product doesn't look good,8306,1788,1,not good
B0BGFR849K,negative,product doesn't look good,8306,1788,2,"its not good,the signature on the bag is also not matched"
B0BN6DD5Z6,negative,color not good,3861,866,2,"i dint like the color and quality,didnt like the feel and color seems a bit faded"
B09HTYRYLX,negative,glitter are coming,45,8,1,it has glitter all over the bag
B09Q1JVKQW,negative,lock is broken,238,85,2,"the lock is damages,broken lock"
B0B464X5MJ,negative,leather looks cheap,281,75,2,"the material is cheap quality and leather has came out,cheap product"
B0B464X5MJ,positive,stylish bag,988,256,2,"looks very decent and stylish at the same time enough space for phone and other makeup stuff,i was expecting the bag to be but classy and it looks very basic"
B0BRKX4JN5,negative,bad quality,4794,893,2,"quality is not good looks also not good,quantity not good"
B07DT1ZGQ7,negative,color not good,3861,866,4,"poor quality with wrong color,style and color are not as expected,doesnt like the color,color"
B07G63DC9Q,negative,bad smell,664,152,1,bag leather has a very bad odour
B07MY2FGH2,negative,inside damage,101,28,1,bag also inside damaged
B083XZYY9H,negative,expected better quality product,259,60,4,"i need better quality product than this,we take the better piece,expected better quality,the color was looking better in image but not good when see"
B083XZYY9H,negative,material not as shown,143,30,1,material is not as shown at shopping
B09HTYRYLX,negative,belt is broken,405,103,2,"the cloth is damaged,poor material poor stitch quality string is broken lock is placed wrongly which makes the flap close uneven"
B09Q1F3WWH,negative,item doesnt meet expectation,253,73,1,item doest meet expectation
B09Q1F3WWH,negative,magnet is not working,93,24,1,alignment is improper so not in shape and magnet button is also not good i
B09W2JLNBY,positive,looks nice,7013,969,1,looks good but quality is cheap and not reliable
B07CG1WCLM,negative,color not good,3861,866,1,not as i expected
B07CG1WCLM,negative,product doesn't look good,8306,1788,1,not good
B07LDS28Y4,negative,material is not good,4433,960,2,"item is not good,defected inner cloth is very poor and damaged"
B09DXC2X7F,negative,no pockets inside the bag,563,130,1,inner pocket not attach
B09G6XVLFL,negative,thin material,265,54,1,thin material
B09HTYRYLX,negative,not open,56,14,1,it is not closing
B09MB2NP9R,negative,size is not fit,3432,821,1,size issue and lace is small in length
B09Q1F3WWH,negative,scratches on product,795,223,3,"scratches on purse,scratches,scratched"
B07J2NZKL3,negative,bad quality,4794,893,2,"not of good style quality,not good quality 1 piece defective"
B07LDT337F,negative,scratches on product,795,223,1,there is a scratch on the purse otherwise good product
B083XZYY9H,negative,size is not fit,3432,821,2,"size not satisfied also the closing part of the bag is not at all up to the level,stiches are not proper for the large bag otherwise the quality is good"
B09Q1DBMM6,negative,size issues,21476,3691,1,size too small
B0BN6DD5Z6,positive,excited to receive this product,405,104,2,"loved it,loved it"
B07CKSVR63,negative,one zip,121,18,1,not so much good zip of one pocket zipped up
B07DT1ZGQ7,negative,only pocket is there,119,19,1,it has single pocket
B07G63DC9Q,negative,chain is broken,511,70,2,"the chain is broken,the chain is broken and the purse looks old and used"
B07J2NZKL3,negative,plastic material,145,19,1,cheap plastic material
B07KSGPXGB,negative,bad quality,4794,893,1,performance or quality not adequate
B07KSH25Q4,negative,stitching is not proper,2146,553,1,stitches and finishing work were incomplete
B07RKHYVMC,negative,light color,354,90,1,color looks light
B09G6XVLFL,negative,marks on product,167,37,1,looks used had many marks
B09Q1GYYVY,negative,chain is broken,511,70,2,"the chain was broken,chain is broken"
B0B464X5MJ,negative,leather quality,632,140,3,"very bad quality not leather,leather quality not good,leather finishing not good"
B0B464X5MJ,negative,space is narrow,429,95,1,small size
B07CYZC1YQ,negative,looks old,3077,592,1,quality of product is not good and his zip is junked and look like very old product
B09HTYRYLX,negative,torned material,959,241,4,"it has been torn in certain places,torn and worn parts,inner part is torn,item is torn"
B09Q1DT2RW,negative,doesn't meet requirements,311,78,1,doesnt fit my need
B09Q1FX34C,positive,picture looks good,411,93,1,this item is same as shown in the picture
B09Q1FYRHD,negative,one compartment,190,43,1,good quality but only 1 compartment
B09Q1JMT13,negative,size issues,21476,3691,1,size is too small
B0B464X5MJ,negative,strap broke within a week,42,7,1,the handle broken in just 4 - 5 days
B0BN6DD5Z6,negative,stitching is not proper,2146,553,2,"stitching is not great and there are black stains at some places,very poor stitch quality"
B07C9X4TSX,positive,good space,504,84,1,the right size bag with enough space
B07J2NZKL3,positive,soft material,367,44,1,so soft and nice bag
B07KNS2ZW7,negative,looks old,3077,592,2,the larger bag looks like old bag and fittings also look like old
B07NVMZH48,negative,size issues,21476,3691,1,its too small atleast cont keep my mobile in the bag and tha sling is too short useless of money
B09Q1FYRHD,negative,color faded,811,167,1,color faded
B09Q1JVKQW,positive,material quality,1741,257,1,the material definitely looks good but the quality of the lock is cheap
B0B464X5MJ,negative,short strap,268,62,3,"length of strap is small,belt is very short,the quality and size of the bag is fine just the chain strap is small"
B07BVB69N1,negative,product description,51,9,1,not as expected and stated in description
B07DT1ZGQ7,negative,torn from inside,155,37,3,"torn from inside,torn from inside and smelling bad not up to the mark quality,very poor quality and inside torn"
B07MY2FGH2,positive,nyc material,73,11,1,nyc one
B07NVMT9XT,positive,looks stylish,1933,330,1,other all its fashionable but when water drops it it becomes sticky inside
B07R6HNVPN,negative,product doesn't look good,8306,1788,2,"not good,this is combo product all bags are not good very very old looking like 5 / 6years old"
B07RZ8KZS9,negative,bad quality,4794,893,9,"its defective and quality is not good,quality is not good,not a good quality,quality not good,not good quality"
B083XZYY9H,positive,value for money,7369,1266,45,"value for money and also the product is in good condition,super product is good value for money,excellent product very good for the price,its awesome and value for money,its amazing value of money just go for it without hesitation"
B083Y1XPMM,negative,heavy weight product,574,147,3,"large and heavy weight,heavy weight,very heavy and little defective with bad quality material"
B09Q1FX34C,negative,tag not available,80,21,1,price tag and product tag not found
B09Q1JVKQW,negative,chain is not working,645,116,1,chain is broken not fitting in it
B07KSGPXGB,positive,looks nice,7013,969,1,very nice
B07NVMT9XT,negative,zip is not working,1508,318,1,zip mistake
B083XZYY9H,negative,shape is not good,362,120,1,bag photo good but physically its not good sorry to say
B09M9YL9WG,negative,small belt,937,252,1,small
B09M9ZGYBF,negative,zip is broken,938,167,1,closer zip damaged
B09M9ZGYBF,positive,build quality,151,29,1,i dont like the fit and material as well
B0BGFR5F3M,negative,design is not good,419,126,1,dont like this product
B07C9X4TSX,positive,nice and spacious,1492,229,1,the size is spacious
B07DT1ZGQ7,negative,item was not packed,133,45,1,material is not at all good
B07DT1ZGQ7,negative,no tag,247,53,1,did not come with any tag
B07KSGPXGB,positive,value for money,7369,1266,2,"best to buy as compare to price,worth it"
B07MY379DC,negative,looks old,3077,592,1,looks old
B083Y1XPMM,negative,useless for purpose,1464,283,2,"not worth,size of bag is different from the dimension given in the description not useful for me"
B09HTYRYLX,negative,useless for purpose,1464,283,2,"didnt find it useful,its not solve my purpose"
B09Q1DT2RW,negative,color faded,811,167,2,"fade from one side,bag is nice but golden color is faded so looks like old piece"
B09Q1F3WWH,negative,doesn't fit properly,1545,527,3,"does not look good,looking not good,not looking good"
B09Q1F3WWH,negative,looks like already used,104,24,2,"looks used already and there is black thread work at a side and another side white,product is so good but already had another"
B0BN6DD5Z6,negative,no tag,247,53,1,no tag on the product
B0BRKX4JN5,negative,small belt,937,252,1,small
B07DT1ZGQ7,positive,looks nice,7013,969,23,"looks nice and as per my expectations,but this one turned out to b nice,good quality and decent look,very nice,nice one"
B07N4R2X3S,negative,looks like old stock,211,35,1,old stock
B083XZYY9H,positive,good design,701,127,2,"nice design,nice combo at this price never had expected this amazons delivery was fast and loved the combo fabric and design is awesome"
B09HTYRYLX,negative,doesn't look like new,223,49,1,dont look like new one
B09HTYRYLX,negative,looks like duplicate,266,66,1,u are sending duplicate one
B09Q1DBMM6,negative,magnet is not working,93,24,2,"magnetic button is not working,magnetic lock not working"
B09Q1FX34C,negative,shape is not good,362,120,1,not look good
B09Q1FX34C,negative,waste of money,3189,599,5,"quality is not good according to price i want to return,quality is not good according to price,quality not good according to price,price and product tag not found,not worth the money"
B09Q1GYYVY,negative,handle is rusted,45,7,1,handle is damaged
B0BGFR4NPZ,negative,wrinkles on bag,50,16,1,marks are there on the bag
